popden,buildings,schools,rent,lat,long,railway,traffic 
44963,9,0,29000,13.041,80.233,0,2.25
36407,8,2,20000,13.05,80.212,0,2
30564,2,2,21000,13.053,80.192,0,1.75
40303,8,0,16000,13.085,80.209,0,2.5
16614,0,0,15000,13.098,80.243,0,2
22459,2,0,13000,13.122,80.232,0,1.5
19631,2,0,12000,13.123,80.211,0,1
7095,0,2,8000,13.119,80.189,0,1
7095,1,0,13000,13.107,80.183,0,1
25388,0,2,20000,13.083,80.194,0,2
25476,7,1,27000,13.077,80.242,2,1.75
39591,1,1,15000,13.051,80.225,0,2
16578,3,1,17000,13.068,80.194,0,1.25
12738,2,0,13000,13.075,80.167,0,1
7852,0,0,16000,13.057,80.154,0,1.25
16952,0,0,14000,13.021,80.159,0,1.5
8103,1,1,12000,13.0005,80.118,0,1
1272,1,0,14000,12.981,80.16,0,1
19648,0,0,18000,12.989,80.19,0,1
26916,1,0,16000,12.988,80.205,0,1
5552,0,0,15000,12.972,80.196,0,1
21114,4,0,19000,12.981,80.218,0,1.25
